Id,Start,Name,Impact,Currency
d4d99159-f62a-4401-9acf-76389249725d,01/01/2012 00:00:00,New Year's Day,NONE,EUR
beb41f50-1839-49bd-97d1-6442bbf95014,01/01/2012 00:00:00,New Year's Day,NONE,JPY
65ab4519-b543-40b7-803f-a76308a1019c,01/01/2012 00:00:00,New Year's Day,NONE,GBP
7c514304-ee0b-488e-b5b7-ce579b8b0173,01/01/2012 00:00:00,New Year's Day,NONE,USD
acf573cb-13d3-4e21-884e-878f82595e84,01/02/2012 08:55:00,HCOB Manufacturing PMI,MEDIUM,EUR
3b8b4c5e-b683-4305-a03f-f8139725e3ed,01/02/2012 09:00:00,HCOB Manufacturing PMI,MEDIUM,EUR
fdd5740d-3e2e-4912-9385-2a540c113ea2,01/03/2012 00:00:00,Bank Holiday,NONE,JPY
4e7eb0b3-e05f-4be2-b2cc-36b853e4c1ad,01/03/2012 08:55:00,Unemployment Change,HIGH,EUR
d64cb9fb-c785-4ac9-984f-58c067757564,01/03/2012 08:55:00,Unemployment Rate s.a.,MEDIUM,EUR
98e26b2a-9bd5-47bb-a1e9-43e1a15fa280,01/03/2012 09:30:00,S&P Global Manufacturing PMI,MEDIUM,GBP
a17d65d2-83f7-4d51-820a-3cf5464aadc8,01/03/2012 15:00:00,Construction Spending (MoM),MEDIUM,USD
954f434a-e57c-4d49-ab27-1b694b7b287d,01/03/2012 15:00:00,ISM Manufacturing PMI,MEDIUM,USD
bb1ebf0d-994a-44a7-a1a5-7e541a23123d,01/03/2012 15:00:00,ISM Manufacturing Prices Paid,MEDIUM,USD
ed8ffe61-e5bf-41c7-a88c-e89216f405ae,01/03/2012 19:00:00,FOMC Minutes,HIGH,USD
e2168faf-a8ec-4cfe-83ce-c0a7ded46284,01/04/2012 08:53:00,HCOB Services PMI,MEDIUM,EUR
2d1eed07-7fea-4092-bc13-b258d72cf9b3,01/04/2012 08:58:00,HCOB Services PMI,MEDIUM,EUR
d3012e7c-75da-4d52-b446-cd7582fc8e9c,01/04/2012 09:30:00,Consumer Credit,MEDIUM,GBP
876c3ac1-0624-4caf-9cc5-1ae4f0a60586,01/04/2012 09:30:00,M4 Money Supply (MoM),LOW,GBP
0a8c7deb-80c2-43a3-b775-8e72f1f84757,01/04/2012 09:30:00,M4 Money Supply (YoY),LOW,GBP
0343eee2-da93-49b8-9e7f-2d9ce05f44ad,01/04/2012 09:30:00,Mortgage Approvals,MEDIUM,GBP
f1dfc060-cd22-4ed7-a802-01e658946cbc,01/04/2012 09:30:00,Net Lending to Individuals (MoM),MEDIUM,GBP
a705f924-c335-4956-9baf-db0545d84b7e,01/04/2012 09:30:00,S&P Global Construction PMI,MEDIUM,GBP
2f6125f9-47c0-422f-9bb7-37672535f779,01/04/2012 10:00:00,Harmonized Index of Consumer Prices (YoY),MEDIUM,EUR
084e5bf7-1ebf-4853-b945-3a395d2e5440,01/04/2012 12:00:00,MBA Mortgage Applications,LOW,USD
b1d50214-51a2-4347-8228-c2d512ef7b4c,01/04/2012 15:00:00,Factory Orders (MoM),MEDIUM,USD
5cb91ba7-bb32-4575-ba19-35b3644fe7f1,01/04/2012 21:00:00,Total Vehicle Sales,LOW,USD
c5835a96-c03e-4138-8db6-6ef88147271b,01/04/2012 23:50:00,Monetary Base (YoY),LOW,JPY
ad40880b-d1a7-41bb-a990-7a601e76c401,01/05/2012 07:00:00,Retail Sales (MoM),MEDIUM,EUR
b96b6b09-e01c-4d9d-8a88-bd2155fd87ae,01/05/2012 07:00:00,Retail Sales (YoY),MEDIUM,EUR
bb961964-07b9-4294-a075-4ff65d5d73e4,01/05/2012 09:30:00,S&P Global Services PMI,MEDIUM,GBP
7adf37aa-acf7-4aa6-8999-3dcd90042d23,01/05/2012 10:00:00,Industrial New Orders (YoY),MEDIUM,EUR
