Id,Start,Name,Impact,Currency
605f7f5d-e808-4815-a6d8-76081866ae12,01/01/2015 00:00:00,New Year's Day,NONE,EUR
dc3c2a44-d559-4484-9a6c-e8c28b454519,01/01/2015 00:00:00,New Year's Day,NONE,JPY
cacbedef-1e5e-4a55-88e0-dc264d48c88a,01/01/2015 00:00:00,New Year's Day,NONE,GBP
1e7fc1fb-c076-449f-be42-efcf2ddca6ca,01/01/2015 00:00:00,New Year's Day,NONE,USD
3a64633d-a1bd-4110-8f5b-4c24c71c6392,01/01/2015 06:00:00,EU Extraordinary Economic Summit,HIGH,EUR
7cc87f8a-1de1-4845-a4e7-d292870f7f88,01/01/2015 13:30:00,Retail Sales Control Group,MEDIUM,USD
5541049a-62fe-4655-a4e5-176b75c630fb,01/02/2015 00:00:00,Bank Holiday,NONE,JPY
7dc927c1-a9cb-4b5a-a0f7-7db7780190d1,01/02/2015 08:55:00,HCOB Manufacturing PMI,MEDIUM,EUR
e7bd1cb8-33bb-40a7-9bf7-46a1ef38a3f4,01/02/2015 09:00:00,HCOB Manufacturing PMI,MEDIUM,EUR
4293a48d-27a4-4861-bb89-1d913b17e7e7,01/02/2015 09:30:00,Consumer Credit,MEDIUM,GBP
11419bd3-bf60-438c-941d-306d323b9bb7,01/02/2015 09:30:00,M4 Money Supply (MoM),LOW,GBP
86488f95-a5fe-424e-a599-88af00a20c11,01/02/2015 09:30:00,M4 Money Supply (YoY),LOW,GBP
001dbcf5-3426-493f-bf89-9e300299da00,01/02/2015 09:30:00,Mortgage Approvals,MEDIUM,GBP
4bd2b99c-a9bb-401e-bcb2-b480023f9c7b,01/02/2015 09:30:00,Net Lending to Individuals (MoM),MEDIUM,GBP
c84e6365-3a3e-42a8-a403-14bb974b9b70,01/02/2015 09:30:00,S&P Global Manufacturing PMI,MEDIUM,GBP
9326a87c-f503-4091-8455-41416cbed376,01/02/2015 14:45:00,S&P Global Manufacturing PMI,MEDIUM,USD
28d71e93-3e20-4e41-a16d-97690605882a,01/02/2015 15:00:00,Construction Spending (MoM),MEDIUM,USD
bae40cae-9f7f-4a43-9fa8-8a922f7e525d,01/02/2015 15:00:00,ISM Manufacturing PMI,HIGH,USD
a903bb22-9f93-4e99-909a-3b80846a291c,01/02/2015 15:00:00,ISM Manufacturing Prices Paid,MEDIUM,USD
66e81fa8-e53f-4659-bc10-34ab3c102df6,01/05/2015 01:35:00,Jibun Bank Manufacturing PMI,LOW,JPY
19276f58-0f3e-4fec-b64f-057a6d111723,01/05/2015 05:00:00,Vehicle Sales (YoY),LOW,JPY
eecc4e26-8167-4f67-8f43-94dd89457235,01/05/2015 09:30:00,Sentix Investor Confidence,LOW,EUR
84752870-d7ba-44cf-9f09-72d9d305914b,01/05/2015 09:30:00,S&P Global Construction PMI,MEDIUM,GBP
80daae7f-d0af-46a9-8066-1485c83caac1,01/05/2015 13:00:00,Consumer Price Index (MoM),MEDIUM,EUR
cd260df3-b4ed-415a-b63e-23cf1a388e2a,01/05/2015 13:00:00,Consumer Price Index (YoY),MEDIUM,EUR
071ded06-45c8-44b4-9acd-1201321e8ee8,01/05/2015 13:00:00,Harmonized Index of Consumer Prices (MoM),MEDIUM,EUR
9da6b7d3-1a2e-4f4c-a4aa-6d959dab0edf,01/05/2015 13:00:00,Harmonized Index of Consumer Prices (YoY),MEDIUM,EUR
383dfcbe-70ee-48c5-9033-85ae7f3b40a6,01/05/2015 14:45:00,ISM-NY Business Conditions Index,LOW,USD
79c77a0d-bf99-47f4-99ea-c601e36525d5,01/05/2015 16:30:00,3-Month Bill Auction,LOW,USD
c56ddeeb-4232-43cc-ad75-39e78b945327,01/05/2015 16:30:00,6-Month Bill Auction,LOW,USD
2c5baca9-cd74-4be7-a66d-c18bce6968b8,01/05/2015 22:24:15,Total Vehicle Sales,LOW,USD
6fe58f56-b0fc-4752-8007-52a02fc5dd55,01/05/2015 23:50:00,Monetary Base (YoY),MEDIUM,JPY
779b1415-2d57-4bb5-8ad6-5b2484beec75,01/06/2015 01:35:00,Jibun Bank Services PMI,MEDIUM,JPY
a3482867-95bd-425f-b5ff-521811bd6022,01/06/2015 08:55:00,HCOB Composite PMI,LOW,EUR
4526d487-b715-4ca0-9430-025337e5160b,01/06/2015 08:55:00,HCOB Services PMI,LOW,EUR
878017a7-33d8-4c1e-a456-861a613a4b01,01/06/2015 09:00:00,HCOB Composite PMI,LOW,EUR
a0890609-ca42-4253-af44-bac21c400717,01/06/2015 09:00:00,HCOB Services PMI,LOW,EUR
8597dd7a-5813-481f-ae88-d2789137987c,01/06/2015 09:30:00,BoE Credit Conditions Survey,LOW,GBP
68daa13f-9eed-42e8-9ba8-d996ce21f9da,01/06/2015 09:30:00,S&P Global Services PMI,MEDIUM,GBP
de49a57e-2cb8-4ef7-a9ff-6df245e07117,01/06/2015 11:19:10,10-y Bond Auction,LOW,GBP
46852c7a-b8de-4743-adcf-ba0dc0f1e67a,01/06/2015 13:55:00,Redbook Index (MoM),LOW,USD
abd46958-db3e-47b2-9a20-9e826552f632,01/06/2015 13:55:00,Redbook Index (YoY),LOW,USD
615bf37e-921b-4dd1-88f3-3846e91c7eec,01/06/2015 14:45:00,S&P Global Composite PMI,MEDIUM,USD
355c199d-d2fa-4951-bb40-61c302aec93c,01/06/2015 14:45:00,S&P Global Services PMI,MEDIUM,USD
018bed96-78a8-4505-871e-44dafdd2a33f,01/06/2015 15:00:00,Factory Orders (MoM),MEDIUM,USD
0277ac41-88e6-44c8-a4f3-ff90d244f319,01/06/2015 15:00:00,ISM Services PMI,HIGH,USD
d70b08f6-3d0f-4399-b886-63e6c1eed7ff,01/06/2015 16:30:00,4-Week Bill Auction,LOW,USD
f2253445-12e6-4da4-9b15-b4369ebc701f,01/06/2015 16:30:00,52-Week Bill Auction,LOW,USD
