Id,Start,Name,Impact,Currency
6970755c-e5d2-4b7f-807a-6d3d9ad2cb8a,01/02/2008 08:55:00,HCOB Manufacturing PMI,LOW,EUR
45c9e345-d4f4-420b-bc2a-117212b8e46e,01/02/2008 09:00:00,HCOB Manufacturing PMI,LOW,EUR
5dc261c8-1d75-47b1-a911-29f139c488fa,01/02/2008 09:30:33,S&P Global Manufacturing PMI,MEDIUM,GBP
903011ef-66c8-439f-9210-4ad028923c0f,01/02/2008 15:00:00,Construction Spending (MoM),LOW,USD
4284a885-a3c7-495d-aa5b-be53f46c5828,01/02/2008 15:00:00,ISM Manufacturing PMI,MEDIUM,USD
9c023977-f8ff-4adf-9fdb-e874b2613dad,01/02/2008 19:00:00,FOMC Minutes,MEDIUM,USD
93ea5629-3e62-4d1b-b1a4-753963c0ede8,01/03/2008 08:55:00,Unemployment Rate s.a.,MEDIUM,EUR
622e870f-09ab-4c45-a300-435e0ed3cedc,01/03/2008 09:00:00,M3 Money Supply (YoY),LOW,EUR
53e3238a-b012-4f7a-87cf-d7e8195f4601,01/03/2008 09:30:00,S&P Global Construction PMI,LOW,GBP
24056738-8ea3-40a0-8595-016bdbe375df,01/03/2008 12:00:00,MBA Mortgage Applications,NONE,USD
0e211fbd-027b-4545-89b1-5aa23e79b42f,01/03/2008 13:15:00,ADP Employment Change,LOW,USD
76b6e3a4-e8fd-43d7-9181-dbdf037e8d6f,01/03/2008 13:30:00,Continuing Jobless Claims,LOW,USD
9652d7bf-6e3b-4419-a535-a9fe067022cf,01/03/2008 13:30:00,Initial Jobless Claims,LOW,USD
0b7eeffb-8eb8-4c41-be18-6774792f43a6,01/03/2008 15:00:00,Factory Orders (MoM),MEDIUM,USD
aac94b0d-c560-4076-b247-76dc6b26e887,01/04/2008 08:55:00,HCOB Services PMI,NONE,EUR
14112010-54e4-4f14-8b68-18c2d4b1ea05,01/04/2008 09:00:00,HCOB Services PMI,LOW,EUR
c4289bb9-8473-4370-b1c2-dd4ed9275fdd,01/04/2008 09:30:00,M4 Money Supply (MoM),LOW,GBP
cface462-91fd-4701-8b1d-c9610f87cbfc,01/04/2008 09:30:00,M4 Money Supply (YoY),LOW,GBP
404f9658-2b1f-4619-82c9-67fe7e4e3442,01/04/2008 09:30:00,Mortgage Approvals,LOW,GBP
ec4cee4d-4f5a-4b5f-b922-0ef4f090377f,01/04/2008 09:30:00,Net Lending to Individuals (MoM),LOW,GBP
21247c1f-f7a3-4102-a3f5-e2aee4816b45,01/04/2008 09:30:00,S&P Global Services PMI,MEDIUM,GBP
ef879029-a199-4a9e-a5c5-67cfb8eaf033,01/04/2008 13:30:00,Average Hourly Earnings (MoM),HIGH,USD
6514b766-8d08-4791-bd59-f4b2527881ef,01/04/2008 13:30:00,Average Hourly Earnings (YoY),HIGH,USD
5449368b-3e88-4a45-bde6-21f4ae603d1e,01/04/2008 13:30:00,Average Weekly Hours,HIGH,USD
6ad3be3e-f7d2-4928-8a92-30147c0e5b6d,01/04/2008 13:30:00,Nonfarm Payrolls,HIGH,USD
b4106dde-63c7-456a-bdd8-537537a98a2d,01/04/2008 13:30:00,Unemployment Rate,HIGH,USD
a3fda40d-7364-4c96-a365-10731d88cb55,01/04/2008 15:00:00,ISM Services PMI,MEDIUM,USD
5fa212af-1c5b-43e0-aa64-ac99a99c6ab7,01/07/2008 10:00:00,Consumer Confidence,LOW,EUR
9cab2d4b-04ce-4773-8a89-c62cf8382ff3,01/07/2008 10:00:00,Producer Price Index (MoM),MEDIUM,EUR
d26a4fa4-caa2-4c47-8eea-0f0b56c8dc49,01/07/2008 10:00:00,Producer Price Index (YoY),MEDIUM,EUR
e3c00a5d-1e92-4ef9-8ff2-4a3170d53341,01/07/2008 10:00:00,Unemployment Rate,LOW,EUR
87e58b9c-c63b-46b2-a142-12ccf7c8750a,01/07/2008 12:00:00,ECB's President Trichet speech,MEDIUM,EUR
14cb2b5e-6142-41f6-a165-983755f5e847,01/07/2008 19:00:00,Treasury Secretary Paulson speech,LOW,USD
