Id,Start,Name,Impact,Currency
166b1bbd-9d74-493a-8654-03fc35ee1f5d,01/01/2011 00:00:00,New Year's Day,NONE,EUR
dfac4ecf-d342-4e3d-9b29-505d09f816c0,01/01/2011 00:00:00,New Year's Day,NONE,JPY
050ae9e0-8172-4479-b054-d7018f538abb,01/01/2011 00:00:00,New Year's Day,NONE,USD
331cd993-4b63-4a6f-be14-cbbd99e3465f,01/03/2011 00:00:00,Bank Holiday,NONE,JPY
0c6a87f3-4b08-4474-a8a8-0f7f6a59f623,01/03/2011 00:00:00,New Year's Day,NONE,GBP
7b3e102d-944e-47ba-8cc5-97f68433175d,01/03/2011 08:55:00,HCOB Manufacturing PMI,MEDIUM,EUR
59414fdd-d8fd-4e3c-8ba2-257c27d64ceb,01/03/2011 09:00:00,HCOB Manufacturing PMI,MEDIUM,EUR
2258493a-2404-4c20-8d02-7e29628e402e,01/03/2011 15:00:00,Construction Spending (MoM),MEDIUM,USD
8c19ca1d-4d8e-4a16-9860-edc6edd93e0c,01/03/2011 15:00:00,ISM Manufacturing PMI,MEDIUM,USD
6004c836-519f-4933-be22-3ff28c827b98,01/03/2011 15:00:00,ISM Manufacturing Prices Paid,LOW,USD
0f732ee4-ff1e-4c78-90ec-2f4073667fca,01/04/2011 08:55:00,Unemployment Change,MEDIUM,EUR
dfb6ed2c-5239-4091-aa1d-678a7ff58468,01/04/2011 08:55:40,Unemployment Rate s.a.,MEDIUM,EUR
b87bec27-3fe4-4af0-8b4f-87a3436dd65d,01/04/2011 09:30:00,M4 Money Supply (MoM),MEDIUM,GBP
f895a130-1228-42ff-aa5d-adebb6a88d56,01/04/2011 09:30:00,M4 Money Supply (YoY),MEDIUM,GBP
0879e076-5412-4390-8d55-300492f7f067,01/04/2011 09:30:00,Mortgage Approvals,MEDIUM,GBP
563826a4-6f1b-4a1b-b990-01e0eebebc60,01/04/2011 09:30:09,S&P Global Manufacturing PMI,MEDIUM,GBP
22a801cf-8ab8-4501-bdf0-c1c7076cc622,01/04/2011 10:00:00,Harmonized Index of Consumer Prices (YoY),MEDIUM,EUR
fa57dfa0-4d25-4e67-b2c8-422eda8d4fa2,01/04/2011 15:00:00,Factory Orders (MoM),MEDIUM,USD
8dab489e-7779-46c9-a715-c18f31b1caef,01/04/2011 19:00:00,FOMC Minutes,MEDIUM,USD
f10a650b-ded1-4c53-8b62-c0b18912a723,01/04/2011 22:00:00,Total Vehicle Sales,LOW,USD
1aa66476-88b2-449c-bc2b-a8b617723dec,01/04/2011 23:50:51,Monetary Base (YoY),LOW,JPY
23b1e351-af4c-4fde-8664-c882c24bfbb9,01/05/2011 05:00:00,Vehicle Sales (YoY),LOW,JPY
6d4a4dbf-34a2-4d33-96f3-f7c7855edd89,01/05/2011 08:55:00,HCOB Services PMI,MEDIUM,EUR
b1bdc6fb-04a7-4ef4-a350-660678918e1c,01/05/2011 09:00:00,HCOB Services PMI,MEDIUM,EUR
e9ed5484-3a77-4474-ad43-63e1996b70c2,01/05/2011 09:30:12,S&P Global Construction PMI,LOW,GBP
51fe2c05-8ba6-4fd6-8132-2eb486d39f72,01/05/2011 10:00:00,Industrial New Orders (YoY),LOW,EUR
0265b689-85ae-431c-8220-d7be5e892035,01/05/2011 10:00:00,Industrial New Orders s.a. (MoM),MEDIUM,EUR
11d82842-934b-4080-a198-07bad0b04735,01/05/2011 10:00:00,Producer Price Index (YoY),MEDIUM,EUR
fce27079-b9ad-4ec0-8c3c-a04789a643b6,01/05/2011 10:00:54,Producer Price Index (MoM),MEDIUM,EUR
78e7df7a-5008-4a57-b695-4b94a0c21d7a,01/05/2011 12:00:00,MBA Mortgage Applications,LOW,USD
d7347c81-6ad2-472b-950f-4c24e0c01bf2,01/05/2011 12:00:20,MBA Mortgage Applications,LOW,USD
b528c591-7461-44a0-a3ac-2f1081c76ed3,01/05/2011 13:15:00,ADP Employment Change,MEDIUM,USD
fcb79e09-613c-47a0-9633-0fd928f2b380,01/05/2011 15:00:32,ISM Services PMI,MEDIUM,USD
256cf940-77d1-402e-a6a7-4af89a760e8c,01/05/2011 15:30:00,EIA Crude Oil Stocks Change,LOW,USD
69692463-cbf0-4b21-a0d8-70d0ae861458,01/06/2011 08:30:00,Bank of England Credit Conditions Report (QoQ),MEDIUM,GBP
73d09c69-c9a7-4656-a219-b068d2452db1,01/06/2011 09:30:00,S&P Global Services PMI,MEDIUM,GBP
03e0ba6c-275f-47dd-8336-6433229ebe0d,01/06/2011 10:00:00,Consumer Confidence,MEDIUM,EUR
1899a9d8-9120-493e-8150-a48b4586287b,01/06/2011 10:00:00,Economic Sentiment Indicator,LOW,EUR
7cb7decf-88ae-44ee-8ed3-17244d26a272,01/06/2011 10:00:00,Industrial Confidence,MEDIUM,EUR
805ce59c-fea8-492c-82da-4572efd088f2,01/06/2011 10:00:00,Retail Sales (MoM),MEDIUM,EUR
9256aa01-6652-456c-97ae-97daf812b698,01/06/2011 10:00:00,Retail Sales (YoY),MEDIUM,EUR
9f4aefad-8a44-4006-8d14-9d4072e9f089,01/06/2011 11:00:00,Factory Orders n.s.a. (YoY),LOW,EUR
7b7795f8-b3af-400c-8b83-3f1f8e56a8ef,01/06/2011 11:00:00,Factory Orders s.a. (MoM),MEDIUM,EUR
770836b5-a613-4ea3-ac3d-131688f2b6a4,01/06/2011 13:30:00,Continuing Jobless Claims,LOW,USD
e0895462-eef7-4216-a014-fea26b1fbae9,01/06/2011 13:30:00,Initial Jobless Claims,LOW,USD
aa4ebd9a-c4f7-4291-8407-f2c8c5a474f9,01/07/2011 07:00:00,Current Account n.s.a.,LOW,EUR
ef89a7b3-03a9-4a38-98ae-37deef09bfb4,01/07/2011 07:00:00,Trade Balance s.a.,MEDIUM,EUR
bd3d5b39-89bc-4ae4-9bb3-5384d944699c,01/07/2011 07:00:47,Retail Sales (MoM),LOW,EUR
e84848be-133d-4156-bdba-27db1c2e4cb3,01/07/2011 10:00:00,Gross Domestic Product s.a. (QoQ),MEDIUM,EUR
5d38ec15-9a83-4bcf-ab86-a74a1839f1aa,01/07/2011 10:00:00,Gross Domestic Product s.a. (YoY),MEDIUM,EUR
f2a59bac-47ce-49da-9000-742277e47f1c,01/07/2011 10:00:00,Unemployment Rate,MEDIUM,EUR
8e9591f1-6870-4b70-a86b-7093e6e5010f,01/07/2011 11:00:00,Industrial Production n.s.a. w.d.a. (YoY),MEDIUM,EUR
ff096b3f-e21f-475f-9b1b-3cb84c16761a,01/07/2011 11:00:00,Industrial Production s.a. (MoM),MEDIUM,EUR
3086010b-57f9-4412-94f3-059dd4f9aa54,01/07/2011 13:30:00,Average Hourly Earnings (MoM),MEDIUM,USD
f099db8a-9b22-4080-928a-63e6c1a82260,01/07/2011 13:30:00,Average Hourly Earnings (YoY),LOW,USD
18f1ed45-98d0-4a94-b9c6-a613ad65a458,01/07/2011 13:30:00,Average Weekly Hours,LOW,USD
5db37c53-2dca-49f0-a94e-c684fed0bc2f,01/07/2011 13:30:00,Nonfarm Payrolls,HIGH,USD
2ba915f8-0d0e-4504-893d-0c7f0bfdcf5b,01/07/2011 13:30:00,Unemployment Rate,MEDIUM,USD
cb1c775f-5321-430b-aa22-edb20e9ee62d,01/07/2011 14:30:52,Fed's Chair Bernanke testifies,MEDIUM,USD
aaa142f0-058a-4a19-b9c4-14b4a0b5e83e,01/07/2011 20:00:00,Consumer Credit Change,MEDIUM,USD
eb5f3dc6-e1f7-4a20-985d-d896f3ae093d,01/10/2011 00:00:00,Coming-of-Age Day,NONE,JPY
fb0e5325-90ce-4811-ab6f-fdd8032502cb,01/10/2011 08:00:00,Halifax House Prices (MoM),LOW,GBP
8a7eb60b-ca86-422b-87a1-3a551e285e2d,01/10/2011 08:00:00,Halifax House Prices (YoY/3m),LOW,GBP
c0fb4ef5-f051-4797-b745-b00a952f11e0,01/10/2011 09:30:00,Sentix Investor Confidence,LOW,EUR
e5323f9b-5cf4-439d-92bc-fdc4814e1552,01/11/2011 00:01:00,BRC Like-For-Like Retail Sales (YoY),MEDIUM,GBP
af939b13-9187-4800-bda6-6844c8e21d16,01/11/2011 05:00:00,Coincident Index,LOW,JPY
4e9eb37b-d3f7-4e77-9ce8-5251567849df,01/11/2011 05:00:00,Leading Economic Index,LOW,JPY
b1753f37-26ea-457b-a1c4-c0066f885b61,01/11/2011 15:00:00,Wholesale Inventories,LOW,USD
d49bde5e-9ffc-4e3a-aaa2-2796e4813786,01/11/2011 23:50:00,Current Account n.s.a.,LOW,JPY
614d6278-39b1-41ba-8e8e-1a8200fe6ad0,01/11/2011 23:50:00,Money Supply M2+CD (YoY),LOW,JPY
fb142094-00cb-4fc3-a296-fa3db990ad58,01/11/2011 23:50:00,Trade Balance - BOP Basis,MEDIUM,JPY
40968579-d4cc-4482-b889-185bdccf5da1,01/12/2011 00:01:00,BRC Shop Price Index (YoY),LOW,GBP
160771ff-f62c-43c1-b406-c6c9940ce166,01/12/2011 05:00:00,Eco Watchers Survey: Current,MEDIUM,JPY
1b382fee-8143-4e20-ba34-73e6f7812539,01/12/2011 05:00:00,Eco Watchers Survey: Outlook,MEDIUM,JPY
b630135e-1714-4a84-b748-986a39f80923,01/12/2011 09:30:00,Goods Trade Balance,MEDIUM,GBP
d4d0461f-54a3-4a63-a795-3e8da48b3bd7,01/12/2011 09:30:00,Trade Balance; non-EU,LOW,GBP
4db28962-9003-4eaa-ba03-2a7a49434398,01/12/2011 10:00:00,Industrial Production s.a. (MoM),MEDIUM,EUR
69737c63-cb8e-4e34-9535-d74ab673c3c0,01/12/2011 10:00:00,Industrial Production w.d.a. (YoY),LOW,EUR
b0418a04-52de-4677-a240-cdd693713f4e,01/12/2011 12:00:00,MBA Mortgage Applications,LOW,USD
