Id,Start,Name,Impact,Currency
0ddd9a3f-38fe-4bb5-957e-e36c84664352,01/01/2014 00:00:00,New Year's Day,NONE,EUR
49dd2fae-5e39-4b9d-a858-67261fc12124,01/01/2014 00:00:00,New Year's Day,NONE,JPY
c3f7ba95-95d5-41f0-8697-86ed2c538d75,01/01/2014 00:00:00,New Year's Day,NONE,GBP
51f955a2-7e15-4765-befc-c49d719761e4,01/01/2014 00:00:00,New Year's Day,NONE,USD
64a69a2c-d500-449b-8481-d5538ae043d3,01/02/2014 00:00:00,Bank Holiday,NONE,JPY
3e6fd458-6730-4459-8787-141b0b46a038,01/02/2014 08:53:00,HCOB Manufacturing PMI,MEDIUM,EUR
75bbeb22-8938-4111-83a2-b2b868e3714d,01/02/2014 08:58:00,HCOB Manufacturing PMI,MEDIUM,EUR
32930fb5-c2de-4151-974b-aa4f4be77314,01/02/2014 09:28:00,S&P Global Manufacturing PMI,MEDIUM,GBP
22154396-f7b9-4554-9de1-74a22d2d16c7,01/02/2014 13:30:00,Continuing Jobless Claims,MEDIUM,USD
dd340de5-996d-45b6-8286-9afba2671d47,01/02/2014 13:30:00,Initial Jobless Claims,MEDIUM,USD
8804e0ac-0ade-4659-a620-84e149700ee8,01/02/2014 13:58:00,S&P Global Manufacturing PMI,MEDIUM,USD
8f0384ca-0dbb-48f6-83c3-90959817ae47,01/02/2014 15:00:00,Construction Spending (MoM),MEDIUM,USD
422a6a2b-95c7-475b-a15c-a4de37ad6054,01/02/2014 15:00:00,ISM Manufacturing PMI,MEDIUM,USD
a3fcf37d-d9ac-494d-abcd-82175f4d28da,01/02/2014 15:00:00,ISM Manufacturing Prices Paid,MEDIUM,USD
a116b8bb-9245-42e1-85bc-0b35cf22f6fb,01/03/2014 00:00:00,Bank Holiday,NONE,JPY
02f5f023-6fb1-489e-9713-8d685077d048,01/03/2014 07:00:00,Nationwide Housing Prices n.s.a (YoY),MEDIUM,GBP
18edb93b-2ec8-4b04-823e-812f5f863d13,01/03/2014 07:00:00,Nationwide Housing Prices s.a (MoM),LOW,GBP
63200908-89cf-4459-bce2-aad78b31aeaf,01/03/2014 09:00:00,M3 Money Supply (3m),LOW,EUR
3fdaee04-ab45-441b-bce2-e3fd31a34276,01/03/2014 09:00:00,M3 Money Supply (YoY),LOW,EUR
9e727a0b-0447-43ff-988a-0c171f9791de,01/03/2014 09:00:00,Private Loans (YoY),LOW,EUR
1aa797ae-c32b-4804-af16-768d3515f8ec,01/03/2014 09:30:00,Consumer Credit,MEDIUM,GBP
750f1d74-8e6b-4fe6-8e5d-eee1c0b69447,01/03/2014 09:30:00,M4 Money Supply (MoM),LOW,GBP
5eab8d36-af9a-4913-a190-caf2e71ae511,01/03/2014 09:30:00,M4 Money Supply (YoY),LOW,GBP
95ea6fa1-2c62-485b-9758-ce2a45c435a6,01/03/2014 09:30:00,Mortgage Approvals,MEDIUM,GBP
138f9571-1f5f-42e9-b8df-2b667217229c,01/03/2014 09:30:00,Net Lending to Individuals (MoM),MEDIUM,GBP
ccd4463b-f31a-4dbb-b087-7d5c3e26ef79,01/03/2014 09:30:00,S&P Global Construction PMI,MEDIUM,GBP
60c26f67-eda6-4646-832a-59bbd14d36d7,01/03/2014 14:45:00,ISM-NY Business Conditions Index,LOW,USD
38ae83cd-c6ec-4b5b-b0bb-b68d10d81552,01/03/2014 15:15:00,Philadelphia Fed's Plosser speech,LOW,USD
9511167a-f60a-4418-9342-3a38af6d762e,01/03/2014 15:30:00,EIA Natural Gas Storage Change,LOW,USD
ffbcdd0b-81c1-489e-8da0-390bec390d78,01/03/2014 16:00:00,EIA Crude Oil Stocks Change,LOW,USD
742fb9c8-a911-4fbb-a8bb-f12b701406f9,01/03/2014 18:15:57,Fed's Stein speech,LOW,USD
