time,high,low,close,atr,ma,range,range_pips
2024-04-08 00:00:00+00:00,1.08839,1.06226,1.06385,0.01204571428571428,1.0827764285714285,0.026129999999999987,261.29999999999984
2024-04-15 00:00:00+00:00,1.069,1.0601,1.06526,0.011821020408163253,1.0806642857142856,0.008899999999999908,88.99999999999908
2024-04-22 00:00:00+00:00,1.07527,1.06239,1.06911,0.011896661807580164,1.0792007142857143,0.012880000000000003,128.8
2024-04-29 00:00:00+00:00,1.08124,1.06515,1.07594,0.012196185964181577,1.0785507142857143,0.016089999999999938,160.89999999999938
2024-05-06 00:00:00+00:00,1.07907,1.07239,1.07694,0.011802172681025751,1.07844,0.006680000000000019,66.8000000000002
2024-05-13 00:00:00+00:00,1.08949,1.07658,1.08724,0.011881303203809623,1.0790849999999998,0.012909999999999977,129.09999999999977
2024-05-20 00:00:00+00:00,1.08844,1.08048,1.0846,0.011601210117823219,1.0795928571428572,0.007959999999999967,79.59999999999967
2024-05-27 00:00:00+00:00,1.0889,1.07883,1.08425,0.011491837966550135,1.079737142857143,0.010070000000000023,100.70000000000023
2024-06-03 00:00:00+00:00,1.0916,1.07993,1.08017,0.011504563826082257,1.0794864285714287,0.011669999999999847,116.69999999999847
2024-06-10 00:00:00+00:00,1.08521,1.06676,1.07059,0.01200066640993353,1.077842142857143,0.018450000000000077,184.50000000000077
2024-06-17 00:00:00+00:00,1.07533,1.0671,1.06918,0.011731333094938274,1.0764485714285714,0.00822999999999996,82.2999999999996
2024-06-24 00:00:00+00:00,1.07441,1.06744,1.07119,0.011391237873871266,1.0757728571428573,0.006970000000000143,69.70000000000142
2024-07-01 00:00:00+00:00,1.08426,1.071,1.0837,0.011524720882880464,1.07611,0.01326000000000005,132.6000000000005
2024-07-08 00:00:00+00:00,1.09109,1.08054,1.09061,0.011455097962674705,1.0766164285714286,0.010549999999999837,105.49999999999838
2024-07-15 00:00:00+00:00,1.0948,1.08731,1.08779,0.01117187667962651,1.0783264285714287,0.007489999999999997,74.89999999999996
2024-07-22 00:00:00+00:00,1.08998,1.08256,1.08577,0.010903885488224616,1.0797914285714287,0.007419999999999982,74.19999999999982
2024-07-29 00:00:00+00:00,1.09265,1.07805,1.09098,0.01116789366763714,1.0813535714285716,0.014599999999999946,145.99999999999946
2024-08-05 00:00:00+00:00,1.10032,1.08814,1.09187,0.011240186977091619,1.0824914285714287,0.012179999999999858,121.79999999999858
2024-08-12 00:00:00+00:00,1.10361,1.09116,1.10211,0.011326602193013652,1.0842892857142858,0.012450000000000072,124.50000000000072
2024-08-19 00:00:00+00:00,1.12008,1.10231,1.11872,0.011801130607798393,1.0865378571428572,0.017770000000000064,177.70000000000064
2024-08-26 00:00:00+00:00,1.12015,1.10473,1.10527,0.012059621278669936,1.0880142857142858,0.01541999999999999,154.1999999999999
2024-09-02 00:00:00+00:00,1.1135,1.10263,1.10861,0.011974648330193507,1.0897542857142857,0.010869999999999935,108.69999999999935
2024-09-09 00:00:00+00:00,1.11017,1.10019,1.10732,0.011832173449465407,1.0916935714285714,0.0099800000000001,99.800000000001
2024-09-16 00:00:00+00:00,1.11787,1.10683,1.11626,0.011775589631646445,1.0949557142857143,0.011039999999999939,110.39999999999938
2024-09-23 00:00:00+00:00,1.1214,1.10831,1.11619,0.011869476086528845,1.0983135714285714,0.013090000000000046,130.90000000000046
2024-09-30 00:00:00+00:00,1.12057,1.09512,1.09739,0.01283951350891964,1.100185,0.025449999999999973,254.49999999999972
2024-10-07 00:00:00+00:00,1.09971,1.09,1.09353,0.012615976829711087,1.1008871428571427,0.009709999999999885,97.09999999999886
2024-10-14 00:00:00+00:00,1.09366,1.0811,1.08655,0.012611978484731733,1.1005971428571428,0.012560000000000127,125.60000000000127
2024-10-21 00:00:00+00:00,1.08688,1.07612,1.07945,0.012479694307250903,1.1000014285714286,0.010760000000000103,107.60000000000103
2024-10-28 00:00:00+00:00,1.08896,1.07688,1.08358,0.012451144713875829,1.099845,0.012079999999999869,120.79999999999869
2024-11-04 00:00:00+00:00,1.09369,1.06824,1.07182,0.01337963437717041,1.0984764285714286,0.025449999999999973,254.49999999999972
2024-11-11 00:00:00+00:00,1.07277,1.0496,1.05394,0.014078946207372519,1.095767142857143,0.023169999999999913,231.69999999999914
2024-11-18 00:00:00+00:00,1.06097,1.03325,1.04193,0.015053307192560194,1.0914685714285715,0.027719999999999967,277.19999999999965
2024-11-25 00:00:00+00:00,1.05971,1.0425,1.05748,0.015248070964520173,1.0870942857142858,0.017209999999999948,172.09999999999948
2024-12-02 00:00:00+00:00,1.06298,1.04607,1.05673,0.01536678018134016,1.083627142857143,0.01690999999999998,169.0999999999998
2024-12-09 00:00:00+00:00,1.05928,1.04531,1.05017,0.015267010168387293,1.0794528571428572,0.013970000000000038,139.7000000000004
2024-12-16 00:00:00+00:00,1.05343,1.03429,1.04254,0.015543652299216783,1.0748257142857143,0.019140000000000157,191.40000000000157
2024-12-23 00:00:00+00:00,1.04443,1.03835,1.04257,0.014867677134987003,1.069562142857143,0.006079999999999863,60.79999999999863
2024-12-30 00:00:00+00:00,1.04583,1.03454,1.03583,0.014612128768202217,1.0638221428571428,0.011290000000000022,112.90000000000022
