Id,Start,Name,Impact,Currency
ffc1f87b-b576-474d-8979-c3962ee7786b,01/01/2013 00:00:00,New Year's Day,NONE,EUR
a36638e7-27b8-4dbb-8e7c-ad0c63347a61,01/01/2013 00:00:00,New Year's Day,NONE,JPY
2f317d02-c246-4bfa-9290-e2f6b6745b4b,01/01/2013 00:00:00,New Year's Day,NONE,GBP
ee23f65d-2c54-4b5e-9c5c-bb2456a11e09,01/01/2013 00:00:00,New Year's Day,NONE,USD
45e5383f-f4eb-467a-b446-1ce6b9f497b6,01/02/2013 00:00:00,Bank Holiday,NONE,JPY
02b439b2-6d69-42dc-a300-9e0bf8ae2a20,01/02/2013 08:53:00,HCOB Manufacturing PMI,MEDIUM,EUR
5864edf8-6896-4284-b624-fd58f491f4d3,01/02/2013 08:58:00,HCOB Manufacturing PMI,MEDIUM,EUR
81fa7971-fae8-4109-9041-56ef3b3d1093,01/02/2013 09:00:00,2-year Notes Auction,LOW,EUR
f320c7a0-e2bd-411e-be76-bdd7d426e94c,01/02/2013 09:28:00,S&P Global Manufacturing PMI,MEDIUM,GBP
9397d4d6-3165-493b-8050-87133bf13967,01/02/2013 13:00:00,Consumer Price Index (MoM),MEDIUM,EUR
050ada8a-5375-46ea-bcb3-2b47563477e0,01/02/2013 13:00:00,Consumer Price Index (YoY),HIGH,EUR
9a29ffdf-7d56-4aef-b8f9-eaa654be85a5,01/02/2013 13:00:00,Harmonized Index of Consumer Prices (MoM),MEDIUM,EUR
a24f932e-0d12-4d5a-8109-5727d79c88bd,01/02/2013 13:00:00,Harmonized Index of Consumer Prices (YoY),HIGH,EUR
7a4dc10c-d4d0-4de0-b44a-434513264f0a,01/02/2013 13:55:00,Redbook Index (MoM),LOW,USD
e0e7a4fd-7bdb-4936-8654-c2d1fdd0a1b9,01/02/2013 13:55:00,Redbook Index (YoY),LOW,USD
7da865b0-6ccc-406b-8333-dd68b2638aff,01/02/2013 13:58:00,S&P Global Manufacturing PMI,LOW,USD
c62d59b3-6932-41d2-89db-2a15e176d7af,01/02/2013 15:00:00,Construction Spending (MoM),MEDIUM,USD
0af83f21-4be6-4635-b112-0c6e5c034a41,01/02/2013 15:00:00,ISM Manufacturing PMI,HIGH,USD
671d2269-ed61-43de-bea8-013feca6eb57,01/02/2013 15:00:00,ISM Manufacturing Prices Paid,MEDIUM,USD
04480dcf-b838-48fe-ad76-b5ea360080e8,01/02/2013 16:30:00,3-Month Bill Auction,LOW,USD
a7a151dc-e7f8-4986-819a-6285f3433eef,01/02/2013 16:30:00,4-Week Bill Auction,LOW,USD
78eec97b-b747-4613-aa36-8de6bf5a2e7d,01/02/2013 16:30:00,6-Month Bill Auction,LOW,USD
4410c54e-adb9-476a-8ea8-af10585a11b6,01/03/2013 00:00:00,Bank Holiday,NONE,JPY
23efceec-4865-4d43-8d58-f74fccd043aa,01/03/2013 07:00:00,Nationwide Housing Prices n.s.a (YoY),MEDIUM,GBP
a369f1b0-db65-41fb-ae40-957a6a7009fc,01/03/2013 07:00:00,Nationwide Housing Prices s.a (MoM),LOW,GBP
7794f708-baba-41db-a17e-e8ff02cabba5,01/03/2013 08:55:00,Unemployment Change,HIGH,EUR
031527d3-2cf1-4b4a-9f5c-2aaf8a55a897,01/03/2013 08:55:00,Unemployment Rate s.a.,MEDIUM,EUR
